Place Name,Address,Average Rating,Total Ratings,Phone Number,Website,Latitude,Longitude,Category
The Body Shop دی باڈی شاپ,"HSBC Bank Building، 366 Bank Rd, Saddar, Rawalpindi",4,100,(051) 5120326,http://thebodyshop.pk/,33.5939701,73.0546432,cosmetics
Metro Shoes,"Shop No، 1 Bank Rd, Saddar, Rawalpindi",4.1,772,(051) 5525719,http://metroshoes.com.pk/,33.5933663,73.0551733,shoes
Nike Rawalpindi Store,"NIKE Store, Bank Rd, near SKECHERS, Saddar, Rawalpindi",4,232,(051) 5120174,https://pentasports.pk/,33.5937642,73.0548931,shoes
Stylo,"Bank Rd, Saddar, Rawalpindi",4.1,135,(051) 5120016,http://stylo.com.pk/,33.5939022,73.0547077,shoes
Skechers Saddar Official Store,"367/25a Bank Rd, Saddar, Rawalpindi",3.4,28,0346 4840000,http://shoestreet.pk/,33.5944874,73.0547322,shoes
The Zeco Shoes,"Shop # G7, Rizwan Arcade, Saddar, Rawalpindi",4.5,21,,http://zecoshoes.com/,33.594989,73.0556448,shoes
Gomila Intersole Rawalpindi,"H3P5+982, Lalkurti, Rawalpindi",4.3,83,(051) 5147811,http://gomilaintersole.com/,33.5859242,73.0582813,shoes
Atalian Shoes,"62/2 Bank Rd, Saddar, Rawalpindi",4,94,(051) 5581465,http://atalianshoes.com/,33.5952757,73.0534441,shoes
Boots Orvino,"Boots Orvino, Bank Rd, Saddar, Rawalpindi",4.6,9,(051) 2719763,http://bootsorvino.com/,33.5952484,73.0533971,shoes
BinSalah Shoes,"Shop No. 01, Ground Floor, Zarkon Plaza, Saddar, Rawalpindi",5,3,0330 6665544,https://binsalah.com.pk/,33.5941909,73.0553999,shoes
Borjan Shoes,"H3W2+W8F, Bank Rd, Saddar, Rawalpindi",4.2,464,(051) 5123103,http://borjan.com.pk/,33.597323,73.0507849,shoes
Mocciani Shoes,"Shop# 64/16 near Rania Mall،, Bank Rd, Saddar, Rawalpindi",4.2,42,(051) 5565972,http://mocciani.com.pk/,33.595523,73.0531312,shoes
Brand City,"Plot No، 54 Bank Rd, Saddar, Rawalpindi",4,248,(051) 5120192,http://brandcity.com.pk/,33.5957827,73.0523328,shoes
Bata,"57 Bank Rd, Saddar, Rawalpindi",3.7,40,(051) 5112357,https://bata.com.pk/,33.5965382,73.0513807,shoes
ECS,"Zarkon Plaza (Zarkon Group Builders & Developers), Murree Rd, Saddar, Rawalpindi",4.1,126,(051) 5111880,http://shopecs.com/,33.5939686,73.0561105,shoes / clothes/ garments
Mian Group Of Chakwal (MGC),"60/A/9, Khan Chamber, Canning Rd, opp. Poonch House, Saddar, Rawalpindi",3.8,5,0335 9669242,https://miangroup.com.pk/,33.5949285,73.0544547,electronics
ISquare Gadgets,"2nd floor, Singapore Plaza, Shop # 16D, Rawalpindi",4.5,14,0324 3449937,http://isquaregadgets.com/,33.5942783,73.0551937,phones
DIGITECH Gadgets,"Singapore Plaza, Bank Rd, Saddar, Rawalpindi",4.1,142,0300 5503550,http://digitechgadgets.com.pk/,33.5942115,73.0549823,phones
SAQIB MOBILE,"Akhtar Plaza Shop 3, Lower Ground Floor, Police Station Rd, Rawalpindi",4.2,93,0337 3333463,https://saqibmobile.com/,33.5984878,73.0481643,phones
MB Communication,"Shop # 2 , Upper Ground Floor , Akhtar Plaza, Police Station Rd, Saddar, Rawalpindi",4.6,48,0300 8334822,http://mbcommunication.com/,33.5984568,73.0482194,phones
Kins Mobile,"Singapore Plaza, Shop 5A Ground Flood, Adam Jee Rd, Rawalpindi",5,9,,http://ahadlinks.com/,33.5945333,73.0555564,phones
GM GLOBAL MOBILES & ACCESSORIES,"Shop # 14, 1st Floor, Emporium Mobiles Plaza, Bank Rd, Saddar, Rawalpindi",5,4,0304 0203358,http://globalmobiles.com.pk/,33.5922612,73.0562673,phones
CSD Mega Mall,"Tamiz-ud-Din Rd, Rawalpindi",4.4,7584,(051) 5147608,https://csd.gov.pk/,33.5855281,73.0545907,appliances
